"","state_code","county_code","site_number","parameter_code","poc","latitude","longitude","datum","parameter","sample_duration_code","sample_duration","pollutant_standard","metric_used","method","year","units_of_measure","event_type","observation_count","observation_percent","validity_indicator","valid_day_count","required_day_count","exceptional_data_count","null_observation_count","primary_exceedance_count","secondary_exceedance_count","certification_indicator","arithmetic_mean","standard_deviation","first_max_value","first_max_datetime","second_max_value","second_max_datetime","third_max_value","third_max_datetime","fourth_max_value","fourth_max_datetime","first_max_nonoverlap_value","first_max_n_o_datetime","second_max_nonoverlap_value","second_max_n_o_datetime","ninety_ninth_percentile","ninety_eighth_percentile","ninety_fifth_percentile","ninetieth_percentile","seventy_fifth_percentile","fiftieth_percentile","tenth_percentile","local_site_name","site_address","state","county","city","cbsa_code","cbsa","date_of_last_change"
"2","28","049","0020","42101",1,32.329111,-90.182722,"WGS84","Carbon monoxide","1","1 HOUR","CO 1-hour 1971","Obseved hourly values","INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU",2021,"Parts per million","No Events",6208,71,"Y",272,365,0,344,0,0,"Certification not required",0.149298,0.134996,1.431,"2021-03-05 00:00",1.345,"2021-03-05 01:00",1.328,"2021-03-04 23:00",1.29,"2021-03-04 22:00",NA,NA,NA,NA,0.747,0.593,0.37,0.261,0.173,0.12,0.047,"Jackson NCORE","232 East Woodrow Wilson Drive","Mississippi","Hinds","Jackson","27140","Jackson, MS","2021-12-03"
"21","28","049","0020","42101",1,32.329111,-90.182722,"WGS84","Carbon monoxide","Z","8-HR RUN AVG END HOUR","CO 8-hour 1971","8-Hour running average (end hour) of observed hourly values",NA,2021,"Parts per million","No Events",6397,73,"Y",273,365,0,0,0,0,"Certification not required",0.15179,0.116784,1.2,"2021-03-05 03:00",1.2,"2021-03-05 04:00",1.2,"2021-03-05 05:00",1.1,"2021-03-05 02:00",1.2,"2021-03-05 03:00",1,"2021-04-12 05:00",0.7,0.5,0.3,0.3,0.2,0.1,0.1,"Jackson NCORE","232 East Woodrow Wilson Drive","Mississippi","Hinds","Jackson","27140","Jackson, MS","2021-12-03"
