"","sample_duration","arithmetic_mean","local_site_name","second_max_datetime","latitude","longitude"
"2","1 HOUR",5.198292,"Jackson NCORE","2020-02-27 22:00",32.329111,-90.182722
"3","1 HOUR",3.335422,"Pascagoula","2020-12-03 13:00",30.378287,-88.53393
