"","state_code","county_code","site_number","parameter_code","poc","latitude","longitude","datum","parameter","sample_duration_code","sample_duration","pollutant_standard","metric_used","method","year","units_of_measure","event_type","observation_count","observation_percent","validity_indicator","valid_day_count","required_day_count","exceptional_data_count","null_observation_count","primary_exceedance_count","secondary_exceedance_count","certification_indicator","arithmetic_mean","standard_deviation","first_max_value","first_max_datetime","second_max_value","second_max_datetime","third_max_value","third_max_datetime","fourth_max_value","fourth_max_datetime","first_max_nonoverlap_value","first_max_n_o_datetime","second_max_nonoverlap_value","second_max_n_o_datetime","ninety_ninth_percentile","ninety_eighth_percentile","ninety_fifth_percentile","ninetieth_percentile","seventy_fifth_percentile","fiftieth_percentile","tenth_percentile","local_site_name","site_address","state","county","city","cbsa_code","cbsa","date_of_last_change"
"11","28","047","0008","44201",1,30.390369,-89.049778,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",5622,94,"Y",231,245,0,0,0,0,"Certified",0.038186,0.010603,0.071,"2020-05-19 10:00",0.061,"2020-06-17 10:00",0.06,"2020-08-07 10:00",0.059,"2020-06-20 09:00",NA,NA,NA,NA,0.06,0.058,0.055,0.052,0.047,0.038,0.024,"Gulfport Youth Court","47 Maple Street","Mississippi","Harrison","Gulfport","25060","Gulfport-Biloxi-Pascagoula, MS","2021-10-31"
"12","28","047","0008","44201",1,30.390369,-89.049778,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2020,"Parts per million","No Events",3982,95,"Y",233,245,0,0,1,1,"Certified",0.037914,0.010704,0.071,"2020-05-19 10:00",0.061,"2020-06-17 10:00",0.06,"2020-08-07 10:00",0.059,"2020-06-20 09:00",NA,NA,NA,NA,0.06,0.058,0.055,0.052,0.047,0.038,0.024,"Gulfport Youth Court","47 Maple Street","Mississippi","Harrison","Gulfport","25060","Gulfport-Biloxi-Pascagoula, MS","2021-10-31"
"13","28","033","0002","44201",1,34.82166,-89.98783,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2020,"Parts per million","No Events",5751,94,"Y",231,245,0,358,0,0,"Certified",0.042004,0.011784,0.086,"2020-08-07 15:00",0.075,"2020-07-13 11:00",0.07,"2020-08-15 13:00",0.068,"2020-06-15 15:00",NA,NA,NA,NA,0.07,0.068,0.061,0.057,0.049,0.042,0.03,"Hernando","5 EAST SOUTH ST. (HERNANDO)","Mississippi","DeSoto","Hernando","32820","Memphis, TN-MS-AR","2021-10-31"
"14","28","033","0002","44201",1,34.82166,-89.98783,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",5865,93,"Y",228,245,0,0,0,0,"Certified",0.037768,0.011254,0.07,"2020-08-07 11:00",0.069,"2020-07-13 09:00",0.062,"2020-06-15 13:00",0.062,"2020-08-06 12:00",NA,NA,NA,NA,0.062,0.06,0.056,0.052,0.046,0.038,0.026,"Hernando","5 EAST SOUTH ST. (HERNANDO)","Mississippi","DeSoto","Hernando","32820","Memphis, TN-MS-AR","2021-10-31"
"15","28","033","0002","44201",1,34.82166,-89.98783,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",5865,93,"Y",228,245,0,0,0,0,"Certified",0.037768,0.011254,0.07,"2020-08-07 11:00",0.069,"2020-07-13 09:00",0.062,"2020-06-15 13:00",0.062,"2020-08-06 12:00",NA,NA,NA,NA,0.062,0.06,0.056,0.052,0.046,0.038,0.026,"Hernando","5 EAST SOUTH ST. (HERNANDO)","Mississippi","DeSoto","Hernando","32820","Memphis, TN-MS-AR","2021-10-31"
"16","28","033","0002","44201",1,34.82166,-89.98783,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2020,"Parts per million","No Events",4179,94,"Y",231,245,0,0,0,0,"Certified",0.037593,0.011355,0.07,"2020-08-07 11:00",0.069,"2020-07-13 09:00",0.062,"2020-06-15 13:00",0.062,"2020-08-06 12:00",NA,NA,NA,NA,0.062,0.06,0.056,0.052,0.045,0.038,0.025,"Hernando","5 EAST SOUTH ST. (HERNANDO)","Mississippi","DeSoto","Hernando","32820","Memphis, TN-MS-AR","2021-10-31"
"17","28","049","0021","44201",1,32.346722,-90.225667,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2020,"Parts per million","No Events",5747,98,"Y",241,245,0,265,0,0,"Certified",0.039627,0.010139,0.063,"2020-04-24 16:00",0.062,"2020-07-11 11:00",0.061,"2020-06-19 11:00",0.058,"2020-05-02 16:00",NA,NA,NA,NA,0.061,0.058,0.056,0.053,0.047,0.041,0.027,"Hinds CC","3925 Sunset Drive","Mississippi","Hinds","Jackson","27140","Jackson, MS","2021-10-31"
"18","28","049","0021","44201",1,32.346722,-90.225667,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",5914,98,"Y",240,245,0,0,0,0,"Certified",0.0354,0.00979,0.055,"2020-05-02 10:00",0.054,"2020-06-12 09:00",0.054,"2020-07-11 08:00",0.053,"2020-03-01 10:00",NA,NA,NA,NA,0.054,0.053,0.051,0.048,0.043,0.036,0.022,"Hinds CC","3925 Sunset Drive","Mississippi","Hinds","Jackson","27140","Jackson, MS","2021-10-31"
"19","28","049","0021","44201",1,32.346722,-90.225667,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",5914,98,"Y",240,245,0,0,0,0,"Certified",0.0354,0.00979,0.055,"2020-05-02 10:00",0.054,"2020-06-12 09:00",0.054,"2020-07-11 08:00",0.053,"2020-03-01 10:00",NA,NA,NA,NA,0.054,0.053,0.051,0.048,0.043,0.036,0.022,"Hinds CC","3925 Sunset Drive","Mississippi","Hinds","Jackson","27140","Jackson, MS","2021-10-31"
"20","28","049","0021","44201",1,32.346722,-90.225667,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2020,"Parts per million","No Events",4183,97,"Y",238,245,0,0,0,0,"Certified",0.035353,0.009872,0.055,"2020-05-02 10:00",0.054,"2020-06-12 09:00",0.054,"2020-07-11 08:00",0.053,"2020-03-01 10:00",NA,NA,NA,NA,0.054,0.053,0.051,0.048,0.043,0.036,0.022,"Hinds CC","3925 Sunset Drive","Mississippi","Hinds","Jackson","27140","Jackson, MS","2021-10-31"
