"","sample_duration","second_max_value","local_site_name","second_max_datetime","latitude","longitude"
"4","3-HR BLK AVG",2.7,"Jackson NCORE","2020-12-22 08:00",32.329111,-90.182722
"8","3-HR BLK AVG",4.5,"Pascagoula","2020-10-03 17:00",30.378287,-88.53393
