"","sample_duration","ninety_eighth_percentile","local_site_name","second_max_datetime","latitude","longitude"
"21","1 HOUR",34.8,"Jackson NCORE","2020-02-27 22:00",32.329111,-90.182722
"4","1 HOUR",27.1,"Pascagoula","2020-11-03 18:00",30.378287,-88.53393
