"","sample_duration","second_max_value","local_site_name","second_max_datetime","latitude","longitude"
"4","3-HR BLK AVG",1.9,"Jackson NCORE","2021-01-13 14:00",32.329111,-90.182722
"8","3-HR BLK AVG",3,"Pascagoula","2021-05-10 23:00",30.378287,-88.53393
