"","sample_duration","local_site_name","ninety_ninth_percentile","latitude","longitude"
"21","1 HOUR","Jackson NCORE",2.5,32.329111,-90.182722
"6","1 HOUR","Pascagoula",3.1,30.378287,-88.53393
